Taxonomy,Inferred Activity
Marmota flaviventris,2.0
Neodon shergylaensis,2.0
Oryctolagus cuniculus,2.0
Mustela eversmannii,2.0
Lontra canadensis,2.0
Hylobates moloch,2.0
Rangifer tarandus caribou,1.9953088350273651
Balaenoptera musculus musculus,1.9937402190923317
Ateles fusciceps,1.9921875
Okapia johnstoni,1.9921507064364208
Rhabdomys pumilio,1.9906396255850234
Tragulus kanchil,1.0
Tragulus javanicus,1.0
Tapirus terrestris,1.0
Tokudaia muenninki,1.0
Thomomys bottae,1.0
Vulpes ferrilata,1.0
Sus scrofa domesticus,1.0
Vulpes corsac,1.0
Trachypithecus phayrei crepuscula,1.0
Trachypithecus phayrei,1.0
Smutsia gigantea,1.0
Trichosurus vulpecula,1.0
Acinonyx jubatus,1.0
Rhinopithecus strykeri,1.0
Daubentonia madagascariensis,1.0
Hoolock leuconedys,1.0
Hexaprotodon liberiensis,1.0
Heterohyrax brucei,1.0
Halichoerus grypus,1.0
Glaucomys volans,1.0
Giraffa tippelskirchi,1.0
Galago moholi,1.0
Eulemur flavifrons,1.0
Enhydra lutris kenyoni,1.0
Eira barbara,1.0
Diceros bicornis michaeli,1.0
Delphinapterus leucas,1.0
Crocuta crocuta,1.0
Hylobates pileatus,1.0
Choloepus hoffmanni,1.0
Cervus nippon,1.0
Cervus canadensis,1.0
Cercopithecus mona,1.0
Ceratotherium simum cottoni,1.0
Cavia aperea,1.0
Capreolus pygargus,1.0
Camelus ferus,1.0
Ateles hybridus,1.0
Aselliscus stoliczkanus,1.0
Artibeus jamaicensis,1.0
Aepyceros melampus,1.0
Hydropotes inermis,1.0
Loris tardigradus,1.0
Pygathrix nigripes,1.0
Myotis lucifugus,1.0
Pteronotus parnellii,1.0
Proteles cristata cristata,1.0
Prolemur simus,1.0
Phacochoerus africanus,1.0
Petaurus breviceps,1.0
Ovis canadensis canadensis,1.0
Otocyon megalotis megalotis,1.0
Orientallactaga sibirica,1.0
Nycticebus bengalensis,1.0
Nomascus siki,1.0
Nanger dama ruficollis,1.0
Myotis ricketti,1.0
Mustela putorius,1.0
Loxodonta africana,1.0
Mustela nivalis,1.0
Mustela nigripes,1.0
Muntiacus reevesi,1.0
Muntiacus gongshanensis,1.0
Moschus berezovskii,1.0
Mormoops blainvillei,1.0
Miniopterus natalensis,1.0
Micromys minutus,1.0
Acomys cahirinus,1.0
Meriones psammophilus,1.0
Martes flavigula,1.0
Lycaon pictus,1.0
Microcebus murinus,1.0
